word;clarification;classification;endіngs;and;look;from;vars;but
Багусла́ва;;;;;;;;
Багушэ́віч;;;<i>чый:</i> Багушэ́вічаў;;;;;
Баґдана́вічус;;;;;;Bagdonavičius;;
Бада́к;;;<i>чый:</i> Бадако́ў;;;;;
Бадле́йскі;Бадле́йская бібліятэ́ка ў О́ксфардзе;;;;;;;
Бадле́р;;;;;;Baudelaire;;
Ба́дэн-Ба́дэн;<i>м.</i> у Нямеччыне;;;;;Baden-Baden;;
Ба́дэн-Вю́ртэмбэрґ;<i>м.</i> у Нямеччыне;;;;;Baden-Württemberg;;
Бажко́;;;;;;;;
Бажэ́наў;;;;;;;;
Базарэ́віч;;;;;;;;
Ба́зэль;<i>м.</i> у Швэйцарыі;;;;;Basel;;
Базэ́н;;;;;;Bazin;;
Байкану́р;;;;;;;;
Байко́ў;;;;;;;;
Ба́йран;;;;;;Byron;;
Бака́са;;;;;;Bokassa;;
Бака́ча;;;;;;Bokaccio;;
Бакст;;;;;;;;
Баку́;<i>стал.</i> Азэрбайджану;;;;;Bakı;;
Баку́нін;;;;;;;;
Бакура́дзэ;;;;;;;;
Бакша́нскі;;;;;;;;
Ба́кшта;<i>вул.</i> у Вільні;;;;;;;
Балаго́е;;;;;;;;
Бала́кіраў;;;;;;;;
Балахо́віч;;;;;;;;
Балашы́ха;;;;;;;;
Балё́нья;<i>м.</i> у Італіі;;;;;Bologna;;
Балі́нскі;;;;;;;;
Балка́ны;;;;;;;;
Балтасла́вія;;;;;;;;
Балту́пы;у Вільні;;;;;;;
Балты́йск;;;;;;;;
Балты́йска-Чарнамо́рскі;;;;;;;;
Ба́лтыка;;;;;;;;
Балтымо́р;<i>м.</i> у ЗША;;;;;Baltimore;;
Ба́лтыя;;;;;;;;
Бальза́к;;;;;;Balzac;;
Бальмо́нт;;;;;;;;
Бальтаза́р;;;;;;Baltasar;;
Бальцаро́віч;;;;;;Balcerowicz;;
Балю́ліс;;;;;;Baliulis;;
Балядзю́р;;;;;;Balladur;;
Балясла́ў;;;;;;;;
Бамбе́й;<i>м.</i> у Індыі;;;;;Bombay;;
Банавэнту́ра;;;;;;Bonaventura;;
Бана́йціс;;;;;;Banaitis;;
Банапа́рт;;;;;;Bonaparte;;
Банґало́р;<i>м.</i> у Індыі;;;;;Bangalore;;
Банґко́к;<i>стал.</i> Тайлянду;;;;;Bangkok;;
Банґлядэ́ш;;;;;;;;
Бандару́к;;;;;;;;
Бандарэ́нка;;;"<i>м.</i> -нкі, <i>ДМ</i> -нку, <i>Т</i> -нкам; <i>ж.</i> -нкі, <i>ДМ</i> -нцы, <i>Т</i> -нкай";;;;;
Бандэ́ра;;;;;;;;
Банё́ніс;;;;;;Banionis;;
Банко́ўскі-Цю́ліґ;;;;;;Bankowski-Züllig;;
Бано́йць;;;;;;;;
Баравіко́ва;;;;;;;;
Бараво́й;;;;;;;;
Барадзі́н;;;;;;;;
Бараду́лін;;;;;;;;
